title,authors,date_published,date_updated,tags,url
Amazon WorkSpaces SAML 2.0 Federation with Keycloak,,2024-02-06T17:34:01+00:00,2024-02-06T17:34:01+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-saml-2-0-federation-with-keycloak/
Analyze access patterns in Amazon WorkSpaces,,2020-09-14T17:14:34+00:00,2021-11-23T05:34:31+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/analyze-access-patterns-in-amazon-workspaces/
Analyze web browsing activities for Amazon WorkSpaces Secure Browser,,2024-09-03T22:59:03+00:00,2024-09-04T00:26:55+00:00,Amazon Athena,https://aws.amazon.com/blogs/desktop-and-application-streaming/analyze-web-browsing-activities-for-amazon-workspaces-secure-browser/
Analyze your Amazon AppStream 2.0 usage reports using Amazon Athena and Amazon QuickSight,,2019-05-21T20:42:26+00:00,2020-10-09T13:53:36+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/analyze-your-amazon-appstream-2-0-usage-reports-using-amazon-athena-and-amazon-quicksight/
Announcing native Entra ID and Intune support for Amazon WorkSpaces,,2024-08-27T18:54:02+00:00,2024-09-20T12:35:06+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-native-entra-id-and-intune-support-for-amazon-workspaces/
Announcing new larger instance types for Amazon WorkSpaces Web,,2024-04-23T21:20:31+00:00,2024-04-23T21:20:31+00:00,Amazon WorkSpaces Secure Browser,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-new-larger-instance-types-for-amazon-workspaces-web/
Announcing Red Hat Enterprise Linux 8 on Amazon WorkSpaces and Amazon AppStream 2.0,,2024-07-30T21:48:11+00:00,2024-07-30T21:53:10+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-red-hat-enterprise-linux-8-on-amazon-workspaces-and-appstream-2-0/
Announcing support for Amazon WorkSpaces Personal with AWS Global Accelerator,,2024-12-20T17:17:45+00:00,2024-12-20T17:17:45+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-support-for-amazon-workspaces-personal-with-aws-global-accelerator/
Announcing the Amazon DCV Access Console as Open Source,,2025-06-18T15:21:12+00:00,2025-06-18T15:21:12+00:00,Amazon DCV,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-amazon-dcv-access-console-as-open-source/
Announcing the Amazon WorkSpaces dynamic inventory plugin for Ansible®,,2024-04-18T20:18:31+00:00,2024-04-18T20:18:31+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-amazon-workspaces-dynamic-inventory-plugin-for-ansible/
Announcing the End User Computing Lens for the Well-Architected Framework,,2025-09-18T20:48:51+00:00,2025-09-19T16:26:58+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-end-user-computing-lens-for-the-well-architected-framework/
AWS Announces the General Availability of Amazon WorkSpaces Web,,2021-12-01T00:11:05+00:00,2021-12-01T00:11:05+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-general-availability-of-amazon-workspaces-web/
Announcing the NICE DCV Access Console,,2024-07-16T16:17:33+00:00,2024-07-16T16:17:33+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-nice-dcv-access-console/
Announcing the NICE DCV Amazon-managed component for EC2 Image Builder,,2024-02-26T18:24:19+00:00,2024-02-26T18:24:19+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-the-nice-dcv-amazon-managed-component-for-ec2-image-builder/
Announcing updates to NICE DCV AWS CloudFormation Templates,,2023-04-18T14:41:10+00:00,2023-05-08T22:20:42+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/announcing-updates-to-nice-dcv-aws-cloudformation-templates/
Anomaly Detection in Amazon WorkSpaces,,2021-04-22T21:58:29+00:00,2021-04-26T15:30:44+00:00,Amazon CloudWatch,https://aws.amazon.com/blogs/desktop-and-application-streaming/anomaly-detection-in-amazon-workspaces/
Application Online Trial Expiration Control with Amazon AppStream 2.0,Changbin Gong,2020-07-15T23:25:49+00:00,2020-07-16T23:38:28+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/application-online-trial-expiration-control-with-amazon-appstream-2-0/
Automate Amazon WorkSpaces custom images across AWS Regions,,2021-09-29T16:09:56+00:00,2021-09-29T16:09:56+00:00,Amazon CloudWatch,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-amazon-workspaces-custom-images-across-aws-regions/
Automate Amazon WorkSpaces with a Self-Service Portal,,2018-09-17T16:46:20+00:00,2018-09-17T16:46:54+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-amazon-workspaces-with-a-self-service-portal/
Automate AppStream 2.0 Elastic fleet application updates with AWS Systems Manager,,2021-11-19T22:49:22+00:00,2021-11-19T22:49:22+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-appstream-2-0-elastic-fleet-application-updates-with-aws-systems-manager/
Automate copy of Amazon WorkSpaces tags to hybrid activation resources in AWS Systems Manager,,2023-12-07T17:39:26+00:00,2024-08-22T19:52:33+00:00,Amazon EventBridge,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-copy-of-amazon-workspaces-tags-to-hybrid-activation-resources-in-aws-systems-manager/
Automate management of Amazon WorkSpaces and Amazon AppStream 2.0,,2023-11-01T21:23:19+00:00,2023-11-07T19:19:02+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-management-of-amazon-workspaces-and-amazon-appstream-2-0/
Automate provisioning of Amazon WorkSpaces using AWS Lambda,,2020-04-22T20:56:00+00:00,2020-06-23T15:21:04+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/automate-provisioning-of-amazon-workspaces-using-aws-lambda/
Automated Alerting on Amazon WorkSpaces Service Limits,,2022-01-07T15:15:49+00:00,2024-02-27T18:38:27+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automated-alerting-on-amazon-workspaces-service-limits/
Automatically attach additional security groups to Amazon WorkSpaces and Amazon WorkSpaces Applications,,2022-09-19T18:41:05+00:00,2025-11-11T17:15:40+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/automatically-attach-additional-security-groups-to-amazon-appstream-2-0-and-amazon-workspaces/
